mol_id,smiles,vina_score,cluster_id,MW,LogP,HBD,HBA,Ro5_Violations,Lipinski_Pass,is_PAINS,PAINS_Match,SA_Score,TPSA,RotatableBonds,AromaticRings,HeavyAtomCount,FractionCSP3,MolMR,QED,rank,ligand_id,source_mol_id,input_smiles,prep_status,canonical_smiles,prep_error,unimol_status,unimol_error,gnina_status,gnina_error,minimizedAffinity,CNNscore,CNNaffinity
MOL_11014841_isomer_0,Nc1c(C(=O)Nc2cccc3ccccc23)c2nc3ccccc3nc2n1-c1cccc(C(F)(F)F)c1,-9.547,38,497.1463,6.5802,2,5,1,TRUE,FALSE,,2.4302,85.83,3,6,37,0.0357,137.6866,0.2892,1,MOL_11014841_isomer_0,MOL_11014841_isomer_0,Nc1c(C(=O)Nc2cccc3ccccc23)c2nc3ccccc3nc2n1-c1cccc(C(F)(F)F)c1,ok,Nc1c(C(=O)Nc2cccc3ccccc23)c2nc3ccccc3nc2n1-c1cccc(C(F)(F)F)c1,,ok,,ok,,-5.10623,0.1845597178,5.9218697548
MOL_11653998_isomer_0_chiral_N_isomer_75,Cc1ccc(S(=O)(=O)N2CCC[C@@H](C(=O)N/N=C/[C@]34CC[C@@H](O)C[C@@]3(O)CC[C@@H]3[C@@H]4CC[C@]4(C)[C@H](C5=CC(=O)OC5)CC[C@@]34O)C2)cc1,-10.147,18,683.324,3.2106,4,9,1,TRUE,FALSE,,5.0352,165.83,6,1,48,0.6944,176.8079,0.2017,2,MOL_11653998_isomer_0_chiral_N_isomer_75,MOL_11653998_isomer_0_chiral_N_isomer_75,Cc1ccc(S(=O)(=O)N2CCC[C@@H](C(=O)N/N=C/[C@]34CC[C@@H](O)C[C@@]3(O)CC[C@@H]3[C@@H]4CC[C@]4(C)[C@H](C5=CC(=O)OC5)CC[C@@]34O)C2)cc1,ok,Cc1ccc(S(=O)(=O)N2CCC[C@@H](C(=O)N/N=C/[C@]34CC[C@@H](O)C[C@@]3(O)CC[C@@H]3[C@@H]4CC[C@]4(C)[C@H](C5=CC(=O)OC5)CC[C@@]34O)C2)cc1,,ok,,ok,,-6.76832,0.4473026991,5.7517490387
MOL_6121286_isomer_0,O=C1C[C@@H](c2ccc(F)cc2)Cc2nc(/N=c3/nc(-c4ccccc4)c4ccccc4[nH]3)ncc21,-9.925,91,461.1652,5.3041,1,5,1,TRUE,FALSE,,3.3418,83.89,3,5,35,0.1071,130.5772,0.395,3,MOL_6121286_isomer_0,MOL_6121286_isomer_0,O=C1C[C@@H](c2ccc(F)cc2)Cc2nc(/N=c3/nc(-c4ccccc4)c4ccccc4[nH]3)ncc21,ok,O=C1C[C@@H](c2ccc(F)cc2)Cc2nc(/N=c3/nc(-c4ccccc4)c4ccccc4[nH]3)ncc21,,ok,,ok,,-6.6205,0.1173163727,5.6322937012
MOL_10849436_isomer_1,Cc1cc(N2C(=O)C(=O)/C(=C(\[O-])c3ccc4ccccc4c3)[C@H]2c2ccc(C(C)(C)C)cc2)no1,-10.097,61,465.182,4.8623,0,5,0,TRUE,FALSE,,3.2106,86.47,3,4,35,0.2069,132.484,0.245,4,MOL_10849436_isomer_1,MOL_10849436_isomer_1,Cc1cc(N2C(=O)C(=O)/C(=C(\[O-])c3ccc4ccccc4c3)[C@H]2c2ccc(C(C)(C)C)cc2)no1,ok,Cc1cc(N2C(=O)C(=O)/C(=C(\[O-])c3ccc4ccccc4c3)[C@H]2c2ccc(C(C)(C)C)cc2)no1,,ok,,ok,,-4.47753,0.19624421,5.565776825
MOL_6810102_isomer_1,O=C1C[C@H](c2ccc3ncccc3c2)c2c(c(O)c([O-])c3c(=O)cc(-c4ccccc4)oc23)O1,-10.319,98,450.0983,4.2284,1,7,0,TRUE,FALSE,,3.5358,112.69,2,5,34,0.0741,122.8688,0.3163,5,MOL_6810102_isomer_1,MOL_6810102_isomer_1,O=C1C[C@H](c2ccc3ncccc3c2)c2c(c(O)c([O-])c3c(=O)cc(-c4ccccc4)oc23)O1,ok,O=C1C[C@H](c2ccc3ncccc3c2)c2c(c(O)c([O-])c3c(=O)cc(-c4ccccc4)oc23)O1,,ok,,ok,,-4.46867,0.1507699341,5.5303215981
MOL_6982181_isomer_2,Cc1ccc([C@H]2CC(=O)C3=C(C2)Nc2ccccc2N(C(=O)C(F)(F)F)[C@@H]3c2ccccc2F)cc1,-9.986,72,494.1617,6.597,1,3,1,TRUE,FALSE,,3.3221,49.41,2,3,36,0.2143,127.9337,0.4088,6,MOL_6982181_isomer_2,MOL_6982181_isomer_2,Cc1ccc([C@H]2CC(=O)C3=C(C2)Nc2ccccc2N(C(=O)C(F)(F)F)[C@@H]3c2ccccc2F)cc1,ok,Cc1ccc([C@H]2CC(=O)C3=C(C2)Nc2ccccc2N(C(=O)C(F)(F)F)[C@@H]3c2ccccc2F)cc1,,ok,,ok,,-5.18548,0.1711914539,5.5282416344
MOL_7131609_isomer_2,O=C1[C@H]2[C@@H](C(=O)N1c1cccc(C(F)(F)F)c1)[C@@]1([NH2+][C@@H]2Cc2ccc(O)cc2)C(=O)Nc2ccc(F)cc21,-10.275,17,526.1384,2.6916,3,4,1,TRUE,FALSE,,4.7606,103.32,3,3,38,0.2222,125.1489,0.3609,7,MOL_7131609_isomer_2,MOL_7131609_isomer_2,O=C1[C@H]2[C@@H](C(=O)N1c1cccc(C(F)(F)F)c1)[C@@]1([NH2+][C@@H]2Cc2ccc(O)cc2)C(=O)Nc2ccc(F)cc21,ok,O=C1[C@H]2[C@@H](C(=O)N1c1cccc(C(F)(F)F)c1)[C@@]1([NH2+][C@@H]2Cc2ccc(O)cc2)C(=O)Nc2ccc(F)cc21,,ok,,ok,,-5.36747,0.2003019601,5.4955878258
MOL_13120_isomer_0,O=c1cc(-c2ccc(O)c(-c3c([O-])cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc([O-])cc([O-])c12,-10.901,48,535.0682,3.238,3,10,1,TRUE,FALSE,,3.763,190.29,3,6,40,0.0,138.1664,0.3031,8,MOL_13120_isomer_0,MOL_13120_isomer_0,O=c1cc(-c2ccc(O)c(-c3c([O-])cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc([O-])cc([O-])c12,ok,O=c1cc(-c2ccc(O)c(-c3c([O-])cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc([O-])cc([O-])c12,,ok,,ok,,-5.8031,0.1219289452,5.4194235802
MOL_3416867_isomer_0,C[NH+]1CCN(S(=O)(=O)c2ccc3c(c2)CCN3C(=O)c2cccc(Nc3ncnc4ccccc34)c2)CC1,-9.752,1,529.2016,2.0953,2,6,1,TRUE,FALSE,,3.1405,99.94,5,4,38,0.25,146.4647,0.4109,9,MOL_3416867_isomer_0,MOL_3416867_isomer_0,C[NH+]1CCN(S(=O)(=O)c2ccc3c(c2)CCN3C(=O)c2cccc(Nc3ncnc4ccccc34)c2)CC1,ok,C[NH+]1CCN(S(=O)(=O)c2ccc3c(c2)CCN3C(=O)c2cccc(Nc3ncnc4ccccc34)c2)CC1,,ok,,ok,,-5.9367,0.2261579037,5.4169707298
MOL_4400570_isomer_1,O=c1oc2ccccc2c2c1[C@H](c1cccc3ccccc13)Nc1ccc3ccccc3c1-2,-10.026,21,425.1416,7.2813,1,3,1,TRUE,FALSE,,2.8809,42.24,1,6,33,0.0333,134.8397,0.2815,10,MOL_4400570_isomer_1,MOL_4400570_isomer_1,O=c1oc2ccccc2c2c1[C@H](c1cccc3ccccc13)Nc1ccc3ccccc3c1-2,ok,O=c1oc2ccccc2c2c1[C@H](c1cccc3ccccc13)Nc1ccc3ccccc3c1-2,,ok,,ok,,-5.2305,0.2411811948,5.343984127
MOL_9087564_isomer_3,O=C(C[C@H]1C(=O)NN=C2c3ccccc3N=CN21)N/N=C\c1c2ccccc2cc2ccccc12,-9.933,44,460.1648,3.6688,2,6,0,TRUE,FALSE,,3.3828,98.52,4,4,35,0.0741,136.7084,0.2762,11,MOL_9087564_isomer_3,MOL_9087564_isomer_3,O=C(C[C@H]1C(=O)NN=C2c3ccccc3N=CN21)N/N=C\c1c2ccccc2cc2ccccc12,ok,O=C(C[C@H]1C(=O)NN=C2c3ccccc3N=CN21)N/N=C\c1c2ccccc2cc2ccccc12,,ok,,ok,,-4.56532,0.3350975215,5.3350868225
MOL_5833695_isomer_0,O=C1c2ccccc2-c2cccc3c(-c4ccc5c6c(cccc46)-c4ccccc4C5=O)ccc1c23,-10.852,78,458.1307,8.0828,0,2,1,TRUE,FALSE,,2.0636,34.14,1,6,36,0.0,144.627,0.2491,12,MOL_5833695_isomer_0,MOL_5833695_isomer_0,O=C1c2ccccc2-c2cccc3c(-c4ccc5c6c(cccc46)-c4ccccc4C5=O)ccc1c23,ok,O=C1c2ccccc2-c2cccc3c(-c4ccc5c6c(cccc46)-c4ccccc4C5=O)ccc1c23,,ok,,ok,,-4.85268,0.2709477246,5.3286528587
MOL_5432735_isomer_0,Cc1ccc(C(=O)C2=C([O-])C(=O)N(c3cc(C)on3)[C@@H]2c2ccc(OCc3ccccc3)cc2)cc1,-9.566,92,479.1612,4.4556,0,6,0,TRUE,FALSE,,3.0697,95.7,7,4,36,0.1379,131.2185,0.3634,13,MOL_5432735_isomer_0,MOL_5432735_isomer_0,Cc1ccc(C(=O)C2=C([O-])C(=O)N(c3cc(C)on3)[C@@H]2c2ccc(OCc3ccccc3)cc2)cc1,ok,Cc1ccc(C(=O)C2=C([O-])C(=O)N(c3cc(C)on3)[C@@H]2c2ccc(OCc3ccccc3)cc2)cc1,,ok,,ok,,-4.67786,0.2491341233,5.3012499809
