ligand_id,status,output_sdf,error
MOL_13120_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_13120_isomer_0.sdf,
MOL_5627712_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_5627712_isomer_0.sdf,
MOL_5833695_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_5833695_isomer_0.sdf,
MOL_6809867_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_6809867_isomer_0.sdf,
MOL_12513756_isomer_0_chiral_N_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_12513756_isomer_0_chiral_N_isomer_1.sdf,
MOL_13118088_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_13118088_isomer_0.sdf,
MOL_10888322_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_10888322_isomer_0.sdf,
MOL_6810102_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_6810102_isomer_1.sdf,
MOL_7131609_isomer_2,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_7131609_isomer_2.sdf,
MOL_13114762_isomer_2,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_13114762_isomer_2.sdf,
MOL_6807728_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_6807728_isomer_0.sdf,
MOL_291708_isomer_0_chiral_N_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_291708_isomer_0_chiral_N_isomer_1.sdf,
MOL_9587307_isomer_3,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_9587307_isomer_3.sdf,
MOL_11653998_isomer_0_chiral_N_isomer_75,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_11653998_isomer_0_chiral_N_isomer_75.sdf,
MOL_9762810_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_9762810_isomer_1.sdf,
MOL_1806990_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_1806990_isomer_1.sdf,
MOL_10849436_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_10849436_isomer_1.sdf,
MOL_10967256_isomer_3,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_10967256_isomer_3.sdf,
MOL_4400570_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_4400570_isomer_1.sdf,
MOL_6982181_isomer_2,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_6982181_isomer_2.sdf,
MOL_9087564_isomer_3,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_9087564_isomer_3.sdf,
MOL_6121286_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_6121286_isomer_0.sdf,
MOL_5122428_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_5122428_isomer_1.sdf,
MOL_6144705_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_6144705_isomer_1.sdf,
MOL_12114944_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_12114944_isomer_1.sdf,
MOL_3416867_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_3416867_isomer_0.sdf,
MOL_10994328_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_10994328_isomer_0.sdf,
MOL_11500060_isomer_0_chiral_N_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_11500060_isomer_0_chiral_N_isomer_1.sdf,
MOL_10821970_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_10821970_isomer_1.sdf,
MOL_10677249_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_10677249_isomer_0.sdf,
MOL_5432735_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_5432735_isomer_0.sdf,
MOL_11014841_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_11014841_isomer_0.sdf,
MOL_6632109_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_6632109_isomer_1.sdf,
MOL_7064130_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_7064130_isomer_1.sdf,
MOL_11651598_isomer_1_chiral_N_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/unimol/chunks/chunk_0/out_sdf/MOL_11651598_isomer_1_chiral_N_isomer_0.sdf,
